bcodmoid,name,shortname,definition,date
BCODMO/465,Gillnet,,"Gillnetting uses curtains of netting that are suspended by a system of floats and weights; they can be anchored to the sea floor or allowed to float at the surface. A gillnet catches fish by their gills because the twine of the netting is very thin, and either the fish does not see the net or the net is set so that it traps the fish. ",2/4/14
BCODMO/466,Nordic 264 Rope Trawl,,"A Nordic 264 surface rope trawl is a 198-m long, 25-m wide, 35-m vertical trawl net, equipped with a 1.2-cm mesh liner in the cod end and towed at the surface.",2/4/14
BCODMO/467,Midwater Trawl,,"A mid-water or pelagic trawl is a net towed at a chosen depth in the water column to catch schooling fish such as herring and mackerel.  Midwater trawl nets have very large front openings to herd schooling fish toward the back end where they become trapped in the narrow ""broiler"".  The sides of the deployed net are spread horizontally with two large metal foils, called ""doors,"" positioned in front of the net. As the trawler moves forward, the doors, and therefore the net, are forced outward, keeping the net open.<br />This instrument designation is used when specific make and model are not known.  ",2/4/14
BCODMO/468,Turner Designs Fluorometer -10,,"The Turner Designs Model 10 fluorometer (manufactured by Turner Designs, turnerdesigns.com, Sunnyvale, CA, USA) is used to measure Chlorophyll fluorescence. No information could be found for this specific model.",2/4/14
BCODMO/469,Isotope-ratio Mass Spectrometer,,The Isotope-ratio Mass Spectrometer is a particular type of mass spectrometer used to measure the relative abundance of isotopes in a given sample (e.g. VG Prism II Isotope Ratio Mass-Spectrometer).,2/4/14
BCODMO/470,Thermosalinograph,,A thermosalinograph (TSG) is used to obtain a continuous record of sea surface temperature and salinity.  On many research vessels the TSG is integrated into the ship's underway seawater sampling system and reported with the underway or alongtrack data.,2/4/14
BCODMO/471,Aanderaa Tide Gauge,,The Aanderaa tide gauge measures and records the time and height of the sea surface as it changes with the tides.  ,2/4/14
BCODMO/472,Rotronics,,Rotronics used to measure Air Temperature,2/4/14
BCODMO/473,Sea-Bird SBE-3 Temperature Sensor,,"The SBE-3 is a slow response, frequency output temperature sensor manufactured by Sea-Bird Electronics, Inc. (Bellevue, Washington, USA).  It has an initial accuracy of +/- 0.001 degrees Celsius with a stability of +/- 0.002 degrees Celsius per year and measures seawater temperature in the range of -5.0 to +35 degrees Celsius. <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics </a> ",2/4/14
BCODMO/474,Sea-Bird SBE-4 Conductivity Sensor,,"The Sea-Bird SBE-4 conductivity sensor is a modular, self-contained instrument that measures conductivity from 0 to 7 Siemens/meter.  The sensors (Version 2; S/N 2000 and higher) have electrically isolated power circuits and optically coupled outputs to eliminate any possibility of noise and corrosion caused by ground loops. The sensing element is a cylindrical, flow-through, borosilicate glass cell with three internal platinum electrodes. Because the outer electrodes are connected together, electric fields are confined inside the cell, making the measured resistance (and instrument calibration) independent of calibration bath size or proximity to protective cages or other objects. ",2/4/14
BCODMO/475,LI-COR LI-192 PAR Sensor,,"The LI-192 Underwater Quantum Sensor (UWQ) measures underwater or atmospheric Photon Flux Density (PPFD) (Photosynthetically Available Radiation from 360 degrees) using a Silicon Photodiode and glass filters encased in a waterproof housing.  The LI-192 is cosine corrected and features corrosion resistant, rugged construction for use in freshwater or saltwater and pressures up to 800 psi (5500 kPa, 560 meters depth). Typical output is in um s-1 m-2.  The LI-192 uses computer-tailored filter glass to achieve the desired quantum response. Calibration is traceable to NIST.  The LI-192 serial numbers begin with UWQ-XXXXX.  LI-COR has been producing Underwater Quantum Sensors since 1973.  </p><p>These LI-192 sensors are typically listed as LI-192SA to designate the 2-pin connector on the base of the housing  and require an Underwater Cable (LI-COR part number 2222UWB) to connect to the pins on the Sensor and connect to a data recording device. </p><p>The LI-192 differs from the LI-193 primarily in sensitivity and angular response.</p><p>193:  Sensitivity: Typically 7 uA per 1000 umol s-1 m-2 in water.  Azimuth: </p><p>192: Sensitivity: Typically 4 uA per 1000 umol s-1 m-2 in water.  Azimuth: </p><p>(<a href=""http://www.licor.com"">www.licor.com</a>)",2/4/14
BCODMO/476,Sea Tech Transmissometer,,"The Sea Tech Transmissometer can be deployed in either moored or profiling mode to estimate the concentration of suspended or particulate matter in seawater. The transmissometer measures the beam attenuation coefficient in the red spectral band (660 nm) of the laser lightsource over the instrument's path-length (e.g. 20 or 25 cm).  This instrument designation is used when specific make and model are not known. The Sea Tech Transmissometer was manufactured by Sea Tech, Inc. (Corvalis, OR, USA).",2/4/14
BCODMO/477,Sea Tech Fluorometer,,"The Sea Tech chlorophyll-a fluorometer has internally selectable settings to adjust for different ranges of chlorophyll concentration, and is designed to measure chlorophyll-a fluorescence in situ.  The instrument is stable with time and temperature and uses specially selected optical filters enabling accurate measurements of chlorophyll a.  It can be deployed in moored or profiling mode.  This instrument designation is used when specific make and model are not known.  The Sea Tech Fluorometer was manufactured by Sea Tech, Inc. (Corvalis, OR, USA).",2/4/14
BCODMO/478,CTD Sea-Bird MicroCAT 37,,"The Sea-Bird MicroCAT CTD unit is a high-accuracy conductivity and temperature recorder based on the Sea-Bird SBE 37 MicroCAT series of products.  It can be configured with optional pressure sensor, internal batteries, memory, built-in Inductive Modem, integral Pump, and/or SBE-43 Integrated Dissolved Oxygen sensor. Constructed of titanium and other non-corroding materials for long life with minimal maintenance, the MicroCAT is designed for long duration on moorings.  </p><p>In a typical mooring, a modem module housed in the buoy communicates with underwater instruments and is interfaced to a computer or data logger via serial port. The computer or data logger is programmed to poll each instrument on the mooring for its data, and send the data to a telemetry transmitter (satellite link, cell phone, RF modem, etc.). The MicroCAT saves data in memory for upload after recovery, providing a data backup if real-time telemetry is interrupted. ",2/4/14
BCODMO/479,CTD Sea-Bird SEACAT,,"The CTD SEACAT recorder is an instrument package manufactured by Sea-Bird Electronics.  The first Sea-Bird SEACAT Recorder was the original SBE 16 SEACAT developed in 1987.  There are several model numbers including the SBE 16plus (SEACAT C-T Recorder (P optional))and the SBE 19 (SBE 19plus SEACAT Profiler measures conductivity, temperature, and pressure (depth)).  This instrument designation is used when make and model are not known.  <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics </a>",2/4/14
BCODMO/480,LI-COR Biospherical PAR Sensor,,The LI-COR Biospherical PAR Sensor is used to measure Photosynthetically Available Radiation (PAR) in the water column.  This instrument designation is used when specific make and model are not known. ,2/4/14
BCODMO/481,Anemometer,,"An anemometer is a device for measuring the velocity or the pressure of the wind. It is commonly used to measure wind speed.  Aboard research vessels, it is often mounted with other meteorological instruments and sensors.",2/4/14
BCODMO/482,Barometer,,A barometer is an instrument used to measure atmospheric pressure.  There are many types of barometers identified by make and model and method of measurement.,2/4/14
BCODMO/483,Precision Spectral Pyranometer,,"This radiometer measures sun and sky irradiance in the range of wavelengths 0.285 to 2.8 microns, including most of the solar spectrum. The PSP is intended to weight the energy flux in all wavelengths equally. It is a ""hemispheric receiver"" intended to approximate the<br />cosine response for oblique rays. The Eppley Precision Spectral Pyranometer (PSP) is primarily used where high accuracy is required or where it is used to calibrate other pyranometers.  The PSP outputs a low level voltage ranging from 0 to a maximum of about 12mV depending on sensor calibration and  radiation level.   An instruction manual provided by Eppley contains the sensor calibration constant and serial number.  The Precision Spectral Pyranometer is a World Meteorological Organization First Class Radiometer and comes with a calibration certificate traceable to the World Radiation Reference and a temperature compensation curve.  More information is available from <a href=""http://www.eppleylab.com"">Eppley Labs</a>.",2/4/14
BCODMO/484,Fluorometer,,A fluorometer or fluorimeter is a device used to measure parameters of fluorescence: its intensity and wavelength distribution of emission spectrum after excitation by a certain spectrum of light. The instrument is designed to measure the amount of stimulated electromagnetic radiation produced by pulses of electromagnetic radiation emitted into a water sample or in situ.  This instrument designation is used when specific make and model are not known.,2/4/14
BCODMO/485,Hygrometer,,"Hygrometers are used for measuring relative humidity.  This term is used when details of the make, model number and measurement principle are not known.",2/4/14
BCODMO/486,Echo sounder - single-beam,,"A single-beam echo sounder is an instrument that measures water depth at a single point below the platform by timing pulses of sound reflected on the seafloor.  The echo sounder transmits and receives sound, accurately measuring the time it takes to leave the sounder, reach the bottom and return to the sounder. It then converts this information into digital or graphic representations of the bottom depth and relief.<br />The average echo sounder consists of a transmission and reception unit that sends sound signals through the water, receives and decodes information and converts that information into either a graphic or visual form. Attached to the receiver is a transducer that acts as a microphone and a speaker under the water. Sound waves travel at approximately 1500 m/s through the water dependent on water temperature"". <a href=""http://www.lmstechnologies.com/echo_sounder.htm""> more from LMS Technologies</a>",2/4/14
BCODMO/487,Multibeam Echosounder,,A Multibeam Echosounder system is used to measure bathymetry (depth of the ocean).  The resultant data can be used to map large areas of the seafloor. ,2/4/14
BCODMO/488,CTD Sea-Bird 9,,"The Sea-Bird SBE 9 is a type of CTD instrument package.  The SBE 9 is the Underwater Unit and is most often combined with the SBE 11 Deck Unit (for real-time readout using conductive wire) when deployed from a research vessel. The combination of the SBE 9 and SBE 11 is called a SBE 911.  The SBE 9 uses Sea-Bird's standard modular temperature and conductivity sensors (SBE 3 and SBE 4). The SBE 9 CTD can be configured with auxiliary sensors to measure other parameters including dissolved oxygen, pH, turbidity, fluorometer, altimeter, etc.). Note that in most cases, it is more accurate to specify SBE 911 than SBE 9 since it is likely a SBE 11 deck unit was used.  <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics </a> ",2/4/14
BCODMO/489,Large Aggregate Profiling System,,"The Large Aggregate Profiling System (LAPS) is a camera system developed to characterize millimeter size particle distributions in the water column. Camera systems are integrated with a CTD and transmissometer and therefore have the advantage of simultaneously collecting data on the distribution of suspended particles and aggregates along with the physical structure of the water column (Honjo et al., 1984; Asper, 1987; Gardner et al., 1988).",2/4/14
BCODMO/490,Camera SONY CCD V801,,The SONY CCD V801 is a Deep-Sea Power and Light AVCS-101 Autonomous Video Camera for capturing underwater images.,2/4/14
BCODMO/491,Transmissometer,,"A transmissometer measures the beam attenuation coefficient of the lightsource over the instrument's path-length. This instrument designation is used when specific manufacturer, make and model are not known.",2/4/14
BCODMO/492,Spectroradiometer,,A Spectroradiometer or Spectraradiometer is an instrument that measures the intensity and nature of electromagnetic radiation.  An ocean color radiometer makes the measurements in a manner optimized for the determination of ocean chlorophyll concentration.,2/4/14
BCODMO/493,Trace Metal Bottle,,Trace metal (TM) clean rosette bottle used for collecting trace metal clean seawater samples.,2/4/14
BCODMO/494,in-situ incubator,,"A shipboard device that holds water samples under controlled conditions of temperature and possibly illumination.  During US JGOFS, Niskin bottle sample water was transferred to amber glass bottles and stored in the dark before analysis.",2/4/14
BCODMO/495,Light Detection and Ranging System,,"The Light Detection and Ranging (LIDAR) system is an active remote sensing system that can be operated in either a profiling or scanning mode using pulses of light to illuminate the terrain.  LIDAR data collection involves mounting an airborne laser scanning system onboard an aircraft along with a kinematic Global Positioning System (GPS) receiver to locate an x, y, z position and an inertial navigation system to monitor the pitch, roll, and heading of the aircraft. By accurately measuring the round trip travel time of the laser pulse from the aircraft to the ground, a highly accurate spot elevation can be calculated. Depending upon the altitude and speed of the aircraft along with the laser repetition rate it is possible to obtain point densities that would likely take months to collect using traditional ground survey methods (June 2010 definition from: <a href=""http://www.ngs.noaa.gov/RESEARCH/RSD/main/lidar/lidar.shtml"">http://www.ngs.noaa.gov/RESEARCH/RSD/main/lidar/lidar.shtml</a>).The LIDAR transmitter uses a Galium-Aluminum-Arsenic laser which emits energy in pulses at a constant rate and wavelength. The LIDAR has two sounding modes: active and acoustic. </p><p>Note: A LIDAR system was used during US JGOFS Arabian Sea cruises to acquire SST, DOM and fluorometric pigment data, but there are also bathymetric LIDAR systems.",2/4/14
BCODMO/496,Pump Air Sampler,,"A Pump Air Sampler is an instrument that continuously supplies a flow of air either to an analytical instrument, over a sensor, through filters or from which discrete samples may be drawn for subsequent analysis.  This instrument designation is used when specific make and model are not known. ",2/4/14
BCODMO/497,Spectrometer-WPI UltraPath,,"A spectrometer is an optical instrument used to measure properties of light over a specific portion of the electromagnetic spectrum.  The World Precision Instruments (WPI) UltraPath is a high-performance spectral absorbency system developed by WPI under a collaborative agreement with NASA (Stennis Space Center) for the spectroscopic determination of colored dissolved organic matter (CDOM) in<br />seawater and fresh water environments.  It was designed for use in the laboratory and in the natural environment. (manufacturer site: <a href=""http://www.wpiinc.com"">www.wpiinc.com</a>)",2/4/14
BCODMO/498,Light-Dark Bottle,,"The light/dark bottle is a way of measuring primary production by comparing before and after concentrations of dissolved oxygen.</p><p>Bottles containing seawater samples with phytoplankton are incubated for a predetermined period of time under light and dark conditions. Incubation is preferably carried out in situ, at the depth from which the samples were collected. Alternatively, the light and dark bottles are incubated in a water trough on deck, and neutral density filters are used to approximate the light conditions at the collection depth.</p><p>Rates of net and gross photosynthesis and respiration can be determined from measurements of dissolved oxygen concentration in the sample bottles.  ",2/4/14
BCODMO/499,Bio-Optical Profiling System,,"Bio-Optical Profiling System (BOPS) is an updated version of the BOPS originally developed by Smith et al. (1984) and is used to collect optical data. The heart of the BOPS is a Biospherical instruments MER-1048 Spectroradiometer which measures up and downwelling spectral irradiance and upwelling spectral radiance. The MER-1048 also has sensors for Photosynthetically Available Radiation (PAR), depth, tilt and roll. In addition, temperature and conductivity are measured with a Sea-Bird CTD, chlorophyll fluorescence is measured with a Sea Tech fluorometer and beam transmission with a Sea Tech 25-cm transmissometer. The Mer-1048 acquires all the data 16 times a second, averages it to four records a second and sends it up the cable to a deck box and a Compaq-286 computer which stores the data on the hard disk. Additionally, a deck cell measures the downwelling surface irradiance in four spectral channels. Also surface PAR is measured continuously using a Biospherical Instruments QSR-240 Integrating PAR sensor. The profile data is commonly filtered to remove obvious data spikes and then binned into one-meter averages. </p><p>Raymond C. Smith, Charles R. Booth, and Jeffrey L. Star, ""Oceanographic biooptical profiling system,"" Appl. Opt. 23, 2791-2797 (1984).",2/4/14
BCODMO/500,QSR-240,,Biospherical Instruments QSR-240 Integrating PAR sensor,2/4/14
BCODMO/501,S4 Current Meter,,"The InterOcean S4 current meter is a basic electromagnetic current meter with two pairs of internal electrodes and a flux-gate compass with an integral data logger.  The S4 current meter is  designed to directly measure with high precision the true magnitude and direction of current motion using two pairs of titanium electrodes located symmetrically on the equator of the sensor.  An internal flux-gate compass provides heading information, used to reference current direction to magnetic North or, for fixed installations, the instrument may be operated in an X-Y orthogonal mode whereby the current vector can be referenced to a landform or structure.  For more info, see <a href=""http://www.interoceansystems.com/s4main.htm"">www.interoceansystems.com/s4main.htm</a>.",2/4/14
BCODMO/502,Mechanical Flowmeter,,"Manufactured by General Oceanics, a mechanical flow meter is used with plankton tows to determine the volume of water which flows through the net. Flow meters are also used in rivers, estuaries, canals, sewer outfalls, pipes, and harbor entrances to determine water velocity and flow distance information. ",2/4/14
BCODMO/503,LongTrack Profiler,,The LongTrack Profiler was a custom data acquisition system that used the ship's SAIL-loop acquisition system with SeaBird conductivity and temperature sensors. The LongTrack Profiler used the R/V Endeavor's IEEE standard serial ASCII instrumentation loop (SAIL) shipboard data communication system to record data from SeaBird conductivity and temperature sensors. The serial ASCII Instrumentation Loop (SAIL) was a hardware and software protocol that was used for collecting data from a variety of instruments aboard the research vessel. ,2/4/14
BCODMO/504,Expendable Sound Velocimeter,,"An Expendable Sound Velocimeter (XSV) system consists of an expendable probe, a data processing/recording system, and a launcher and is used to obtain sound velocity profiles. more from Sippican at URL: <a href=""http://www.sippican.com/contentmgr/showdetails.php/id/312"">http://www.sippican.com/contentmgr/showdetails.php/id/312</a>",2/4/14
BCODMO/505,Multi-Variate Moored System,,"The Multi-Variate Moored Systems deployed during the US JGOFS EqPac Process Study was a package of integrated meteorological instruments.  The Multi-Variate Moored System included instruments for measuring bio-optical and physical variables including water temperature, current direction and velocity, PAR, Lu683 (upwelling radiance,  chlorophyll a fluorescence), and salinity.  Instrumentation included: (1) a vector measuring current meter (VMCM; EG&amp;G; Weller and Davis, 1980); (2) a fluorometer measuring strobe-stimulated fluorescence (Sea Tech; Bartz et al., 1988); (3) a transmissometer measuring beam transmission at 660 nm (Sea Tech; Bartz et al., 1978); (4) a sensor measuring scalar irradiance or photosynthetic available radiation, PAR, (E-PAR) in the visible waveband (400 <l>&lt; 700 nm, in vacua; Biospherical Instruments, QSP-200; Booth, 1976); (5) a sensor for measuring downwelled vector irradiance at 488 nm (Ed(488); Biospherical Instruments, QCP-200); (6) a sensor for measuring upwelled radiance at 683 nm (Lu683); Biospherical Instruments MRP-200); (7) a dissolved oxygen sensor (ENDECO, Inc.) and thermistors for measuring temperature. (Dickey et al. 1993 and Foley et al. 1997).</l></p><p>References: <br />Bartz, R., Zaneveld, J. R.V. and Pak, H. (1978) A transmissometer for profiling and moored observations in water. SPIE, Ocean Optics V, 160, 102-107. </p><p>Booth, C. R. (1976) The design and evaluation of a measurement system for photosynthetically active quantum scalar irradiance. Limnology and Oceanography, 19, 326-335. </p><p>Dickey, TD, Granata, T., Marra, J., Langdon, G, Wiggert, J., Chai-Jochner, Z., Hamilton, M., Vazquez, J.,. Stramska, M., Bidigare, R., Siegel, D. 1993. Seasonal Variability of Bio-Optical and Physical Properties in the Sargasso Sea, J. Geophys. Res., 98(C1), 865-898, doi:10.1029/92JC01830.  </p><p>Foley, D.G., T.D. Dickey, M.J. McPhaden, R.R. Bidigare, M.R. Lewis, R.T. Barber, S.T. Lindley, C. Garside, D.V. Manov and J.D. McNeil (1997). Longwaves and Primary Productivity Variations in the Equatorial Pacific at 0 degrees, 140 degrees W. Deep Sea Research II, 44(9-10): 1801-1826. </p><p>Weller, R. A. and Davis, R. E. (1980) A vector measuring current meter. Deep-Sea Research, 27A, 565-582.",2/4/14
BCODMO/506,High Performance Liquid Chromatograph,,"A High-performance liquid chromatograph (HPLC) is a type of liquid chromatography used to separate compounds that are dissolved in solution. HPLC instruments consist of a reservoir of the mobile phase, a pump, an injector, a separation column, and a detector. Compounds are separated by high pressure pumping of the sample mixture onto a column packed with microspheres coated with the stationary phase.  The different components in the mixture pass through the column at different rates due to differences in their partitioning behavior between the mobile liquid phase and the stationary phase. (<a href=""http://www.files.chem.vt.edu/chem-ed/sep/lc/hplc.html"">http://www.files.chem.vt.edu/chem-ed/sep/lc/hplc.html</a>)",2/4/14
BCODMO/507,CO2 Coulometer,,A CO2 coulometer semi-automatically controls the sample handling and extraction of CO2 from seawater samples. Samples are acidified and the CO2 gas is bubbled into a titration cell where CO2 is converted to hydroxyethylcarbonic acid which is then automatically titrated with a coulometrically-generated base to a colorimetric endpoint.,2/4/14
BCODMO/508,Fluorescence Microscope Image Analysis System,,"A Fluorescence (or Epifluorescence) Microscope Image Analysis System uses semi-automated color image analysis to determine cell abundance, dimensions and biovolumes from an Epifluorescence Microscope. An Epifluorescence Microscope (conventional and inverted) includes a camera system that generates enlarged images of prepared samples.  The microscope uses excitation ultraviolet light and the phenomena of fluorescence and phosphorescence instead of, or in addition to, reflection and absorption of visible light. ",2/4/14
BCODMO/509,Multiple Unit Large Volume Filtration System,,"The Multiple Unit Large Volume Filtration System (MULVFS), consists of multiple (commonly 12) specialized particulate matter pumps, mounted in a frame and tethered to the ship by a cable (Bishop et al., 1985; Bishop and Wood, 2008).  The MULVFS filters particulates from large volumes of seawater, although the exact protocols followed will vary for each project.",2/4/14
BCODMO/510,Thermal Ionization Mass Spectrometer,,A Thermal Ionization Mass Spectrometer (TIMS) is an instrument that measures isotopic ratios after electrical excitation of a sample causes ionization of the isotopes.,2/4/14
BCODMO/511,MOCNESS,,"The Multiple Opening/Closing Net and Environmental Sensing System or MOCNESS is a family of net systems based on the Tucker Trawl principle. There are currently 8 different sizes of MOCNESS in existence which are designed for capture of different size ranges of zooplankton and micro-nekton  Each system is designated according to the size of the net mouth opening and in two cases, the number of nets it carries. The original MOCNESS (Wiebe et al, 1976) was a redesigned and improved version of a system described by Frost and McCrone (1974).(from MOCNESS manual)  This designation is used when the specific type of MOCNESS (number and size of nets) was not specified by the contributing investigator.",2/4/14
BCODMO/512,Large Volume Pumping System-WTS-LV,,"The Large Volume Pumping System-WTS-LV can be one of several different models of Water Transfer Systems (WTS) Large Volume (LV) pumping systems designed and manufactured by McLane Research Labs (Falmouth, MA, USA). The WTS-LV systems are large volume in-situ filtration systems designed to collect sinking particulates. WTS-LV systems are individual in situ, battery-powered, pumping/filtration units that can be deployed at multiple depths per cast to provide information on how particle flux changes with depth. The McLane WTS-LV series of oceanographic pumps draw ambient water through filters and can pump large volumes of seawater during a single cast. The WTS-LV pumps are designed for use from a hydro-wire and employ advanced control algorithms to dynamically optimize flow rates as material accumulates on a filter. ",2/4/14
BCODMO/513,Self-Contained Underwater Fluorescence Apparatus,,"The Self-Contained Underwater Fluorescence Apparatus (SCUFA)<br />is a type of Submersible Fluorometer available from Turner Designs that can be deployed in either moored or profiling mode (<a href=""http://ocb.whoi.edu/SOFeX/PI-NOTES/scufa_brochure.pdf"">SCUFA brochure</a>).  ",2/4/14
BCODMO/514,Sediment Trap - IRS,,"Sediment traps are specially designed containers deployed in the water column for periods of time to collect particles from the water column falling toward the sea floor. In general a sediment trap has a jar at the bottom to collect the sample and a broad funnel-shaped opening at the top with baffles to keep out very large objects and help prevent the funnel from clogging.  The Indented Rotating Sphere (IRS) Sediment Trap is described in Peterson et al. (Field evaluation of a valved sediment trap. 1993. Limnology and Oceanography, 38, pp. 1741-1761 and Novel techniques for collection of sinking particles in the ocean and determining their settling rates. 2005. Limnology and Oceanography Methods 3, pp. 520-532). The IRS trap consists of four cylindrical modules; a particle interceptor, an IRS valve; a skewed funnel, and an eleven sample carousel (designated IRSC trap).  The key to the trap design is the patented IRS valve located between the particle interceptor and particle accumulator portions of the trap. The valve and carousel are regulated by a TattleTale IVA (manufactured by Onset Computer Corp.) microprocessor and custom software.  The IRS sediment trap was specifically designed to exclude zooplankton (Trull et al. 2008. Deep-Sea Research II v.55 pp. 1684-1695). ",2/4/14
BCODMO/515,Vector-Averaging Wind Recorder,,"The Vector-Averaging Wind Recorder (VAWR) is a system designed by researchers at Woods Hole Oceanographic Institution (WHOI) to make surface meteorological measurements.  The standard WHOI Vector Averaging Wind Recorder (VAWR) of the late 1980s through early 1990s was mounted on a toroid buoy (Dean and Beardsley, 1988). In addition to wind speed and direction, the VAWR could also be configured to record water temperature and conductivity data from sensors mounted at 1 meter depth on the mooring bridle of the buoy (Trask et al., 1995). </p><p>References: <br /><br />Dean, JP and RC Beardsley. 1988. A vector-averaging wind recorder (VWAR) system for surface meteorological measurements in CODE (Coastal Ocean Dynamics Experiment). Published by Woods Hole Oceanographic Institution in Woods Hole Mass. Series: CODE technical report no. 44., WHOI-88-20, WHOI Technical report (Woods Hole Oceanographic Institution). 74 pp.<br /><br /><br /><br />Trask, Richard P.; Way, Bryan S.; Ostrom, William M.; Allsup, Geoffrey P.; Weller, Robert A. 1995. Arabian Sea mixed layer dynamics experiment : mooring deployment cruise report R/V Thomas Thompson cruise number 40, 11 October-25 October 1994. (WHOI DLA URI: <a href=""http://hdl.handle.net/1912/482"">http://hdl.handle.net/1912/482</a>)",2/4/14
BCODMO/516,Improved Meteorological Recorder,,"An IMET Recorder is an instrument package that can be mounted on a ship or buoy to record mean weather data including air and sea-surface temperature, incoming short and long-wave radiation, precipitation, humidity, wind velocity and barometric pressure. Each sensor in the system communicates digitally and returns calibrated values to a central data recorder.",2/4/14
BCODMO/517,Eppley Longwave Radiometer,,"The Eppley Precision Infrared Radiometer (PIR) pyrgeometer measures longwave (infrared) radiation. It is housed in a weatherproof titanium canister that has been painted with a very flat black paint that absorbs radiation. A small glass dome at the top of the instrument is covered with an 'interference coating' which allows only infrared radiation to come through. Light levels are detected as temperature changes creating voltages in fine wire coil detectors. <a href=""http://www.eppleylab.com/PrdPrecInfRadmtr.htm""> more from Eppley Labs</a>",2/4/14
BCODMO/518,Sediment Trap,,Sediment traps are specially designed containers deployed in the water column for periods of time to collect particles from the water column falling toward the sea floor. In general a sediment trap has a jar at the bottom to collect the sample and a broad funnel-shaped opening at the top with baffles to keep out very large objects and help prevent the funnel from clogging. This designation is used when the specific type of sediment trap was not specified by the contributing investigator.,2/4/14
BCODMO/519,Piston Corer,,"The piston corer is a type of bottom sediment sampling device. A long, heavy tube is plunged into the seafloor to extract samples of mud sediment. A piston corer uses a ""free fall"" of the coring rig to achieve a greater initial force on impact than gravity coring.  A sliding piston inside the core barrel reduces inside wall friction with the sediment and helps to evacuate displaced water from the top of the corer. A piston corer is capable of extracting core samples up to 90 feet in length. ",2/4/14
BCODMO/520,Camera,,"A camera (could be a 35 mm type), most often used to photograph marine mammals or birds.",2/4/14
BCODMO/521,Beam Trawl,,"A beam trawl consists of a cone-shaped body ending in a bag or codend, which retains the catch. In these trawls the horizontal opening of the net is provided by a beam, made of wood or metal, which is up to 12 m long. The vertical opening is provided by two hoop-like trawl shoes mostly made from steel. No hydrodynamic forces are needed to keep a beam trawl open.  The beam trawl is normally towed on outriggers, one trawl on each side. </p><p>While fishing for flatfish the beam trawl is often equipped with tickler chains to disturb the fish from the seabed. For operations on very rough fishing grounds they can be equipped with chain matrices. Chain matrices are rigged between the beam and the groundrope and prevent boulders/stones from being caught by the trawl. Shrimp beam trawls  are not so heavy and have smaller mesh sizes. A bobbin of groundrope with rubber bobbins keeps the shrimp beam trawl in contact with the bottom and gives flatfish the opportunity to escape.</p><p>Close bottom contact is necessary for successful operation. To avoid bycatch of most juvenile fishes selectivity devices are assembled (sieve nets, sorting grids, escape holes). While targeting flatfish the beam trawls are towed up to seven knots, therefore the gear is very heavy; the largest gears weighs up to 10 ton. The towing speed for shrimp is between 2.5 and 3 knots.</p><p>(from: <a href=""http://www.fao.org/fishery/geartype/305/en"">http://www.fao.org/fishery/geartype/305/en</a>)",2/4/14
BCODMO/522,Traction Winch,,"The traction winch, as it pertains to marine deep water applications, is the primary component of a system designed to provide a significant tractive or load-bearing effort to subsea cable or umbilical. Conventional traction winch systems utilize two sheaves with multiple cable grooves to apply this tractive effort via elliptically reeving cable around the two sheaves.  Advancements in sampling instrument packages and vehicles to perform more complex, intervention tasks at greater depths have placed greater demands on the cables and umbilicals linking them to the surface. The traction winch system was designed to address the challenges associated with increased wire or cable tension. (information is from Chapter 11 'Double Drum Traction Winch Systems for Oceanographic Research', in the HANDBOOK OF OCEANOGRAPHIC WINCH, WIRE AND CABLE TECHNOLOGY, 3rd Edition, 2001, Editor, John Bash, <a href=""http://www.unols.org/publications/winch_wire_handbook__3rd_ed/"">http://www.unols.org/publications/winch_wire_handbook__3rd_ed/</a>)",2/4/14
BCODMO/523,Sediment Trap - Floating,,Floating sediment traps are specially designed sampling devices deployed to float in the water column (as opposed to being secured to a mooring at a fixed depth) for periods of time to collect particles from the water column that are falling toward the sea floor. In general a sediment trap has a container at the bottom to collect the sample and a broad funnel-shaped opening at the top with baffles to keep out very large objects and help prevent the funnel from clogging. The 'Sediment Trap -Floating' designation is used for a floating type of sediment trap about which no other design details are known. ,2/4/14
BCODMO/524,Flounder Trap,,"Based on an historical design used previously in the Gulf of Maine to target Winter Flounder, this experimental trap is a converted lobster trap fitted with a standard crab hoop acting as one long entrance.  The crab hoop measures 8 inches across and 2 1/2 inches in height and it was hoped that this hoop would allow flatfish, crabs and some finfish to enter while excluding most lobsters. These traps were built by Kelo Pinkham and Jim Lowe, from Boothbay, Maine. Collapsible square fish traps are also available commercially for eel, crawfish and flounder.",2/4/14
BCODMO/525,Plankton Net,,A Plankton Net is a generic term for a sampling net that is used to collect plankton. It is used only when detailed instrument documentation is not available.,2/4/14
