"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L22/NETT0050";"Gulf V high-speed sampler - Arnold (1959)";"Gulf V HSS";"A 41 cm diameter mouth opening with frame 130 cm long.  Conical Monel mesh net with 30 meshes per cm. An unencased and scaled down version of the Gulf III described by Gehringer   [Wiebe and Benfield 2003 Plate 16 A].";"2011-10-21"
"L22/NETT0051";"Gulf VII Pro-net and MAFF-Guildline high-speed samplers  - Nash et al. (1998)";"Gulf VII HSS";"An un-encased frame 275 cm long and 76 cm in diameter with a conical nose cone. (There are smaller and larger variants of the frame and nose cone). Standard mouth opening is 40 cm diameter. Pronet is a conical net with 0.28 mm nylon mesh is 230 cm long.   Both systems are equipped with a pressure, temperature, conductivity sensor, and flowmetering package for transmission to ship via conducting cable or logged internally. Other environmental sensors can be accommodated.  Data scanned/recorded twice per second.  Routinely towed at 5 knots and up to 7 knots [Wiebe and Benfield 2003 Plate 17 C].";"2011-10-21"
"L22/NETT0052";"Modified Gulf III high-speed sampler - Hempel (1960)";"Hempel modified Gulf III HSS (HAI)";"Construction comprises an entrance of 18 cm diameter and a net mesh of 0.4mm. Towed at 6 knots.";"2011-10-21"
"L22/NETT0053";"Modified small Hardy Plankton Sampler - Miller (1961)";"Miller modified Hardy Plankton Sampler";"This is a small high-speed sampler (modified from that described by Glover) with 10.1cm diameter aperture opening on a body tube 14 cm internal diameter and a 61cm overall length. Attached to the back of the tube is a 91 cm long nylon net of three meshes (0.947 mm, 0.526 mm, and 0.264 mm). Multiple units used on the towing wire at speeds of 7 to 8 knots with a multiplane kit otter depressor on bottom of wire [Wiebe and Benfield 2003 Plate 14 B].";"2011-10-21"
"L22/NETT0054";"Hensen egg net - Hensen (1887); Jenkins (1901); Wimpenny (1937)";"Hensen egg net";"Construction is a 38 cm diameter mouth (40 cm long conical mouth piece); 100 cm diameter conical net mouth. 144 cm long net of No. 20 silk [Wiebe and Benfield 2003 Plate 1 A, B)";"2011-10-21"
"L22/NETT0055";"High-speed sampler - Smith and Ahlstrom (1948)";"Smith HSS";"Construction comprises a 2.54 cm diameter mouth expanding to 5.08 cm (brass), cylindrical net 5.08 cm and 25.4 cm long made of No. 56xxx grit gauze, and a bucket. Towed at 9 knots.";"2011-10-21"
"L22/NETT0056";"High-speed plankton sampler - Pierce (1937)";"Pierce HSS";"Construction comprises a 7 cm mouth opening of front cone which was 16.5 cm long.  17.8 cm diameter cylinder body which was 25.4 cm long. 7 cm conical coarse silk net 16.5 cm long with small jar cod end.";"2011-10-21"
"L22/NETT0057";"High-speed sampler - Erdmann (1937)";"Erdmann HSS";"Construction comprises a ~4.5 cm diameter mouth expanding to 12 cm with overall length of 64 cm.  Has an opening/closing mechanism [Wiebe and Benfield 2003 Plate 14 D].";"2011-10-21"
"L22/NETT0058";"High-speed metal plankton net - Fry (1937)";"Fry high-speed metal plankton net";"Construction comprises a 10.2 cm diameter mouth opening expanding to 25.4 cm followed by a mesh cone (15.7 meshes per cm) and a cod end. Overall length 152 cm. Towed with 3 part chain bridle at speeds up to 10 knots [Wiebe and Benfield 2003 Plate 14 C].";"2011-10-21"
"L22/NETT0059";"High-speed net model I - Cassie (1956)";"Cassie high-speed net model I";"A brass cylinder 6 cm diameter and 6 cm long with bridle attachment lugs that had a 180 cm bolting cloth net (16 or 30 meshes per cm) attached to the back [Wiebe and Benfield 2003 Plate 18 A ].";"2011-10-21"
"L22/NETT0060";"High-Speed net model II - Cassie (1956)";"Cassie high-speed net model II";"Same as the model 1 (6cm diameter 6cm long brass cylinder with 180 cm net) except the system was shorter (90 cm) and the net made out of brass gauze with 16 meshes per cm and two metal rods (struts) connected the brass cylinder to the cod end bucket.";"2011-10-21"
"L22/NETT0061";"High-speed net model III - Cassie (1956)";"Cassie high-speed net model III";"Same as model 2 (6cm diameter 6cm long brass cylinder with 90 cm net) except shorter again (60 cm) and four metal rods (struts) connected the brass cylinder to the cod end bucket.";"2011-10-21"
"L22/NETT0062";"High-speed net - Cassie (1956)";"Cassie high-speed net";"A combination of model 1, model 2 and model 3 nets  towed from the stern of the vessel at ~ 8 knots on a 40 m tow line.";"2011-10-21"
"L22/NETT0063";"High-speed tow net - Gauld and Beganal (1951)";"Gauld high-speed tow net";"A 46 cm diameter mouth opening with 15 cm long calico collar, 94 cm long silk net (10.2 meshes per cm), and 12 cm diameter x 17cm long sleeve with ring sewn in at end. The tail of the net is flipped inward and bridles attached to the ring are attached to the front of the net.  A three-part bridle tows the net at speeds up to 7 knots. Design taken from Sheard [Wiebe and Benfield 2003 Plate 15 A].";"2011-10-21"
"L22/NETT0064";"HOrizontal PLAnkton SAmpler  - Ruetzler et al. (1980)";"HOPLASA";"18.5 cm diameter x 40 cm long plexiglass cylinder houses a electric motor and propellor assembly and a flow meter. Attached to the back is a net 80 cm long made with 0.25 mm nylon mesh. The device which creates its own current flow through the net is intended for plankton collection on or near the bottom of coral reefs [Wiebe and Benfield 2003 Plate 24 C]";"2011-10-21"
"L22/NETT0065";"High-speed successive plankton sampler - Motoda (1953)";"Motoda HSS";"Body is 10 cm diameter and 100 cm in length. Tapered nose with two 2 cm openings. Body of cylinder has multiple sections 1.5 cm diameter x 18 cm long to store samples.  Equipped with depth/flowmeter. Collects samples at ~ 8 knots.";"2011-10-21"
"L22/NETT0066";"High-speed sampler - Zacharias (1907)";"Zacharias HSS";"A cylindrical tube similar to Apstein’s with ~3 cm diameter mouth opening expanding to 8 cm diameter main body with baffles for different towing speeds and a filtering surface at the rear. Overall length 42 cm [Wiebe and Benfield 2003 Plate 13 B].";"2011-10-21"
"L22/NETT0067";"High speed-sampler - Monti (1910)";"Monti HSS";"A cylindrical tube modified from Zacharias with a 3-4 cm diameter mouth opening expanding to 10-12 cm diameter main body and a filtering cone leading to a stopcock at the rear.  Overall length 50 cm [Wiebe and Benfield 2003 Plate 13 C].";"2011-10-21"
"L22/NETT0068";"High-speed multiple sampler - Porche (1978)";"Porche HSS";"Comprises 4 nets and one intake.  The nets rotate into the water flow position to collect a sample. Instrument reference is in French.";"2011-10-21"
"L22/NETT0069";"Horizontal ichthyoplankton tow-net system - Nester (1987)";"Nester ichthyoplankton system";"A 50 cm diameter circular net ring is mounted in a 53cm x 53 cm rectangular frame. The net is a cylinder-cone with 0.333 mm nylon mesh.  The tow bridle is attached to a spreader bar to keep the net opening clear of the bridle and depressor attached to bottom of frame.  It has two flowmeters: one inside the net and one outside. Usually towed at 3 knots.  Mainly for catching larval fish.  Similar to the Blackburn and Keith system. It has no opening/closing mechanism.";"2011-10-21"
"L22/NETT0070";"ICITA plankton net - Jossi (1966)";"ICITA net";"A 100 cm diameter mouth opening with a conical net with a short (18cm) section of canvas and a 330 cm length section of 0.281 mm Nitex nylon mesh. Used with a flowmeter.  The standard net used during the International Cooperative Investigations of the Tropical Atlantic [Wiebe and Benfield 2003 Plate 2 B].";"2011-10-21"
"L22/NETT0071";"Isaacs-Kidd Midwater Trawl  - Isaacs and Kidd (1953)";"IKMT";"A trawl with a pentagonal mouth opening and a dihedral depressor vane as part of the mouth opening. The original IKMTs were 10 foot (304 cm), and 15 foot (457 cm) at the mouth. The 10 foot IKMT net was 31 feet (9.45 m) in length [Wiebe and Benfield 2003 Plate 3 D].";"2011-10-21"
"L22/NETT0072";"Modified Isaacs-Kidd Midwater Trawl with MPS cod-end - Pearcy and Hubbard (1964)";"Pearcy modified IKMT";"A 1.8 m IKMT fitted with a scaled down version of the Be MPS with 3 nets attached to the back of the trawl.  A pressure-release system controls the opening/closing of the cod-end nets [Wiebe and Benfield 2003 Plate 26 B].";"2011-10-21"
"L22/NETT0073";"Modified opening-closing Isaacs-Kidd Midwater Trawl - Brown (1975)";"Brown modified IKMT";"An IKMT was outfitted with a flap of material that extended from the net mouth to the back end of the net and a 3-stage cod end.  At the start of a haul the flap was down and animals collect in stage 1 of the cod end. A timer released the flap which rode to the top of the net and animals collected in the stage II cod end.  A second timer release caused the stage II cod end to be pursed and it was replaced with the stage III cod end.";"2011-10-21"
"L22/NETT0074";"International Council for the Exploration of the Seas standard net - Ostenfeld and Jespersen  (1924)";"ICES standard net";"Net has 50 cm diameter mouth with 60 cm cylindrical portion of 1 cm mesh,  200 cm conical section of silk (No. 25 or No 3).  This net is used for both vertical and horizontal closing tows (based on the Nansen net). A unique way to avoid ship motion described using two davits and a counter balancing weight [Wiebe and Benfield 2003 Plate 1 D].";"2011-10-21"
"L22/NETT0075";"Indian Ocean standard net - Currie (1963)";"IOS net";"Net has a 113 cm diameter mouth with 3 cylinder sections 70 cm (12.5 mm mesh), 30 cm (sail cloth, and 100 cm (0.330 mm nylon mesh) and a conical section 300 cm (0.333 mm mesh). No closing mechanism is used in standard haul. Flowmeter use is recommended.  It was based on the Discovery N 100 net.  Used during the UK NIO Indian Ocean Expedition of the 1960s [Wiebe and Benfield 2003 Plate 1 G].";"2011-10-21"
"L22/NETT0076";"Isaacs high-speed sampler - Ahlstrom (1958)";"Isaacs HSS";"Construction comprises a 2.5 cm mouth opening expanding to a diameter of 7.6 cm; overall length of 130 cm. The plankton filter is a cylinder of Monel metal mesh (23 mesh per cm) ~5.2 cm in diameter and 36 cm long.  System equipped with a flowmeter and depth sensor (from bathythermograph) and a recording unit utilizing clear 35 mm acetate film.  Can be towed up 10 knots. Can be put anywhere on cable and multiple units can be towed simultaneously [Wiebe and Benfield 2003 Plate 15 B]";"2011-10-21"
"L22/NETT0077";"Modified Juday net - Aksnes and Magnesen (1983)";"Aksnes modified Juday net";"A pair of Juday nets with 40 cm diameter mouth openings were mounted on a frame 50 cm apart. Mesh of nets 0.18 mm. Designed to be towed vertically.";"2011-10-21"
"L22/NETT0078";"Juday net - Juday (1916)";"Juday net";"Net has a 25 cm diameter mouth opening with 33 cm long canvas cone expanding to 30 cm diameter, followed by a conical net 70 cm long made of No 20 silk bolting cloth [Wiebe and Benfield 2003 Plate 1 C]. A closing net with simple messenger release is also described: this has a 12 cm diameter mouth opening with 40 cm long canvas cone expanding to 17 cm, followed by a 47 cm long conical net with the same mesh.";"2011-10-21"
"L22/NETT0079";"Modified Juday net  - Clayton and Pavlou (1978)";"Clayton modified Juday net.";"A net designed to avoid surface contamination of the sample. Construction is a 75 cm diameter cylinder (120 cm length) and cone (290 cm length), net (Nitex mesh size not given) with a cylinder skirt 380 cm long to enclose the net mesh.  The net ring and netting are enclosed in nylon utility cloth and tied with a release line that is pulled free after the net is underwater.  A messenger used to close net [Wiebe and Benfield 2003 Plate 7 B, C].";"2011-10-21"
"L22/NETT0080";"Kitahara - Nakai (1962)";"Kitahara";"Net has a 24 cm diameter mouth opening for head piece and 45 cm diameter conical net 80 cm long. A Hensen style net (KT)";"2011-10-21"
"L22/NETT0081";"Modified large Longhurt-Hardy Plankton Recorder - Bone (1986)";"Bone modified LHPR";"A modified version of the LHPR . A tubular frame 185 cm high x 125 cm wide x 640 cm long and with a 81 cm expanding to 100 cm diameter nose cone was used with a recorder box (with 1.55 mm nylon mesh gauze) attached to the cod-end of a conical net 300 cm long with same mesh.  The mouth of the recorder box is equipped with an opening/closing unit which shunts water flowing through the net to the open sea when closed and into the recorder when open. System acoustically (IOS) telemeters depth, flow, and temperature and controls recorder box opening/closing unit.  Underwater electronics records temperature, depth, flow, and controls gauze advance. Designed to tow up to 4 knots [Wiebe and Benfield 2003 Plate 27 B].";"2011-10-21"
"L22/NETT0082";"Longhurst-Hardy Plankton recorder - Longhurst et al (1966)";"LHPR";"A 50 cm diameter net mounted in a towing frame. Attached to the cod end of the net was a plankton recorder box with two rolls of gauze that were spooled onto a single spool after cutting across a tunnel through which water and plankton flowed out of the back of the net. The take-up spool with the plankton sandwiched between the two strips of gauze was advanced in discrete steps (15 seconds to 60 seconds) by an electronics package on the tow frame. Data on pressure and temperature and flow counts were logged on an internal recorder in the pressure case.  Normally towed at 1.5 to 2.5 knots and collected ~ 100 samples [Wiebe and Benfield 2003 Plate 26 C].";"2011-10-21"
"L22/NETT0083";"Modified Longhurt-Hardy Plankton Recorder - Haury et al. (1976)";"Haury modified LHPR";"Three lengths  (230, 300, 370 cm) of  70 cm diameter net were mounted in a towing frame.  The modified recorder box had a mesh area to mouth opening ratio of 2.9 as opposed to < 1.0 for previous designs and the orientation of the gauze across the recorder box tunnels was horizontal instead of vertical. The modified design reduced or eliminated many of the problems observed in earlier designs.  Data on pressure and temperature and flow counts were logged on an internal recorder in the pressure case.  Normally towed at 1.5 to 2.5 knots and collected ~ 100 samples [Wiebe and Benfield 2003 Plate 26 E].";"2011-10-21"
"L22/NETT0084";"Large Opening-closing High-speed Sampling System - Dunn et al. (1989, 1993)";"LOCHNESS";"Rectangular net design similar to BIONESS.  Uses an acoustic telemetry system to monitor depth, battery voltage, flow, and net function and to control the opening and closing of the nets. An underwater data logger is also present to log depth, conductivity, temperature and other parameters. LOCHNESS carries 5 nets with 224 cm x 224 cm mouth opening (5-m2) x 1400 cm long.  Tow speeds up to 6 knots [Wiebe and Benfield 2003 Plate 31 D, E].";"2011-10-21"
"L22/NETT0085";"Lowestoft frame trawl - Walker and Davies (1986)";"Lowestoft frame trawl";"A 142 cm x 142 cm rectangular mouth opening trawl with a rigid mouth frame and  nets 747.5 cm long of 5.0 cm mesh. Uses a TSK flowmeter converted to a digital counter unit and conducting cable to power  depth and temperature sensors.  Data recorded on a surface chart recorder.  Normally towed at 3 knots.  A 100 cm x 100 cm mouth opening trawl with a net length of 475 cm also described.  Mainly for small pelagic fish capture.  Not opening/closing [Wiebe and Benfield 2003 Plate 4 F].";"2011-10-21"
"L22/NETT0086";"Lowestoft multiple high-speed plankton sampler - Beverton and Tungate (1967)";"Lowestoft HSS";"Construction comprises a 30.5 to  48.5 cm diameter nose cone aperture with 76.6 cm diameter body and 244 cm in length (a modified Gulf III sampler).  Conical netting of nylon mesh of 0.270, 0.305, or 0.420 mm or Monel metal mesh of 0.270, 0.42, 0.560 mm.  Has two auxiliary samplers with nose cones of 5 to 9 cm diameter and main body 16.5 cm diameter (0.061 - 0.270 cm mesh). An additional phytoplankton or water sampler has an aperture of 0.1 cm and a body diameter of 11.5 cm. Flowmeter mounted in nose cone [Wiebe and Benfield 2003 Plate 17 A].";"2011-10-21"
"L22/NETT0087";"MAFF-Guildline high-speed samplers - Milligan and Riches (1983)";"MAFF-Guildline HSS";"A modified Lowestoft Sampler -itself a modified Gulf III sampler - which has a 40 cm diameter conical nose cone aperture with 76.6 cm diameter body 275 cm long.  A second system has a 20 cm diameter nose cone aperture with a 53.3 cm diameter body that is 275 cm long. These systems have a Guildline CTD sensor unit with oxygen, pH, and digital flowmeter as additional probes with telemetry through a conducting cable. (MAFF stands for Ministry of Agriculture, Fisheries, and Food, now known as CEFAS)";"2011-10-21"
"L22/NETT0088";"Manta net - Brown and Cheng (1981)";"Manta net";"A rectangular framework 100 cm wide by 20 cm tall with a pair of wings that ride the sea surface and a pair of paravanes to guide the net away from the ship. Attached to the frame was a Bongo Net (240 cm circumference) with 505 um mesh.  A 100 kg weight was used to hold the asymmetrical bridle down below the surface so that the mouth opening was relatively free of towing lines. Equipped with a flow meter [Wiebe and Benfield 2003 Plate 21 A].";"2011-10-21"
"L22/NETT0089";"MARMAP Bongo net - Posgay and Marak (1980)";"MARMAP Bongo net";"A non-opening/closing descendant of the McGowan-Brown Bongo net. A pair of circular hoops (61 cm in diameter and 30 cm long) are joined by a central yoke which is clamped to the towing cable.   The nets are 61 cm in diameter and have cylindrical section 147 cm long and a conical section 153 cm long. Mesh sizes from 0.1 to 0.5 mm have been used, but normally 0.333 mm is used.  A flowmeter is  present in each hoop [Wiebe and Benfield 2003 Plate 2 D, E].";"2011-10-21"
"L22/NETT0090";"Maruchi conical nets - Nakai (1962)";"Maruchi nets";"Construction comprises a 130 cm diameter mouth opening with 450 cm long net. There were a series of variants MCA-MCE.";"2011-10-21"
"L22/NETT0091";"Marudai - Nakai (1962)";"Marudai";"Construction comprises a 250 cm diameter mouth opening with 800 cm long net.  A series of variants designed to sample megaplankton and nekton (MDA, MDB, PMD)";"2011-10-21"
"L22/NETT0092";"Marunaka - Nakai (1962)";"Marunaka";"Has a 60 cm diameter mouth opening  cylinder/cone design. Cylinder coarse mesh (3.3 cm) 33 cm long.  Conical portion silk net 150 cm long. Can accommodate flowmeter. Sometimes rigged as Nansen closing net. Variants listed as MNA, MNB.";"2011-10-21"
"L22/NETT0093";"Marutoku - Nakai (1962)";"Marutoku";"Has a 45 cm diameter mouth opening with cylinder/cone design - similar to International Standard Net (MTA) - sometimes rigged as Nansen closing net. Cylinder coarse mesh; conical section 80cm silk mesh netting.  MTB- similar to above, but with flowmeter [Wiebe and Benfield 2003 Plate 3 A, B].";"2011-10-21"
"L22/NETT0094";"Micronketon net - Blackburn and Keith (1962)";"Blackburn micronketon net";"A 152 cm x 152 cm rectangular mouth opening net attached to metal tube frame with Isaacs depressors attached to bottom corners. Net was 579 cm long made of 5.5 x 2.5 mm rectangular nylon mesh. Towed at speeds of 5 knots. A bathythermograph attached to the top frame member provide a temperature-depth trace for a tow. Not ordinarily used with a flowmeter [Wiebe and Benfield 2003 Plate 4 C, D].";"2011-10-21"
"L22/NETT0095";"Midwater net - Fowler (1898)";"Fowler midwater net";"A 11.4 cm x 11.4 cm rectangular net mouth frame which was hinged at the central axis.  It was equipped with a silk net ( 9.8 or 15.7 meshes per cm) which was enclosed by a similar net made from mosquito netting. This net was sent down closed, opened by a messenger and closed by a second one.  Designed for vertical towing.";"2011-10-21"
"L22/NETT0096";"Midwater neuston trawl - Zaitsev (1970)";"Zaitsev MNT";"Construction is an elliptical metal frame 100 cm wide x 50 cm tall with a net 400 cm long made of netting with Nos. 21-23 meshes. Two plastic foam floats (25 cm x 12 cm x 8 cm) are attached to each side of the net frame. The net is towed in a circle at about 4 knots.";"2011-10-21"
"L22/NETT0097";"MOCNESS modified Tucker trawl - Wiebe et al (1976, 1985)";"MOCNESS";"Has a 100 cm x 141 cm rigid mouth opening  with nine 0.333 mm nylon mesh nets 6 meters long. System powered electrically on conducting wire and originally controlled from surface deck unit and now computer controlled.  Sensors include pressure, temperature, conductivity, fluorometer, transmissometer, oxygen, and light. Versions include systems with 1/4, 1, 2, 4, 10 and 20 m2 mouth openings all using the same release mechanisms, sensors, and compute logging and controls [Wiebe and Benfield 2003 Plates 28 D; 29 A-D].";"2011-10-21"
"L22/NETT0098";"Modified Multiple Plankton Sampler - Weikert and John (1981)";"Weikert modified MPS";"A modified version of the Be MPS net with a rectangular sampler box 50 cm x 50 cm on a side and 60 cm deep equipped with 5 nets (0.3 mm mesh) each 250 cm long.  Nets are opened and closed electronically through conducting cable and pressure is monitored. No flowmeter used [Wiebe and Benfield 2003 Plate 31 A, B].";"2011-10-21"
"L22/NETT0099";"Multiple Plankton Sampler - Be et al. (1959); Be (1962)";"MPS";"Construction is a 50 cm x 50 cm opening with nets of 0.2 mm mesh 300 cm long ( 50 cm nylon cloth collar; 240 cm netting, 10 cm nylon cloth for cod-end attachment). First described as a vertically towed system using messengers to open and close three nets.  A depth-flowmeter readings continuous recorded on smoked glass cylinder.  Then modified to do horizontal or oblique towing using a pressure actuated device to open and close nets a preselected depths (MPS 0-100, 100-250 m, and 250-500 m; BPS 500-1000 m). Also built with 100 cm x 100 cm mouth opening. Sometimes referred to as the Bathypelagic Plankton Sampler [Wiebe and Benfield 2003 Plate 9 A, B, C].";"2011-10-21"
"L22/NETT0100";"MTD horizontal net - Motoda (1971)";"MTD horizontal net";"Comprises a 56 cm diameter cylinder (80 cm length and cone (110 cm length) net mounted on wire with a triangular framework so that up to 10 can be towed simultaneously. Has a closing system that inverts the forward portion of the net and draws mid-net section tight. A flowmeter can provide approximate volumes filtered. Mesh size not given [Wiebe and Benfield 2003 Plate 8 D].";"2011-10-21"
"L22/NETT0101";"Multiple Plankton Sampler based on MOCNESS and NIO nets - Sameoto et al. (1977)";"Sameto MPS";"A 100 cm x 100 cm mouth opening with 10 nets (0.243 mm mesh ).  Net length not given.  Non-rigid mouth opening with net bars similar in design to MOCNESS that slide down cables.  A depressor is mounted below the bottom net bar.  System powered electrically on conducting wire and controlled from surface deck unit. Data logging included depth, roll, pitch, and temperature. A non-telemetering flowmeter was mounted in each net [Wiebe and Benfield 2003 Plate 30 A].";"2011-10-21"
"L22/NETT0102";"N100 - Kemp et al. (1929); Marr (1938)";"N100";"Cylinder-cone net structure. The cylinder is 100 cm diameter  by 107 cm long with a 1.27 cm mesh. The cone has two sections one 107 cm long with 4 mm mesh, and the other 213 cm long with 5.9 meshes per cm or stramin.";"2011-10-21"
"L22/NETT0103";"N200 - Kemp et al. (1929); Marr (1938)";"N200";"Cylinder-cone net structure. The cylinder is 200 cm diameter by 213 cm long with a 2.54 cm mesh 213 cm long. The cone has two sections one 198 cm long with 7 mm mesh, and the other 396 cm long with 4 mm mesh.";"2011-10-21"
"L22/NETT0104";"N450 - Kemp et al. (1929); Marr (1938)";"N450";"Cylinder-cone net structure with four sections. The cylinder is 450cm diameter by 457 cm long with a 3.8 cm mesh. The cone is  1371 cm long with three equal length sections with 1.27 cm mesh, 0.7 cm mesh, and 0.7 cm mesh with 0.4 cm mesh liner respectively. Used either as open net or with a messenger device that closed the net about half way back to the cod end while still allowing the net ring to tow normally.  Depth recording instrument used on the net.";"2011-10-21"
"L22/NETT0105";"N50 - Kemp et al. (1929); Marr (1938)";"N50";"Cylinder-cone net structure. The cylinder is 50 cm diameter by 66 cm long made of canvas. The cone is 65 cm long made of silk netting of 78 meshes /cm.";"2011-10-21"
"L22/NETT0106";"N70 - Kemp et al. (1929)";"N70";"Cylinder-cone net structure. The cylinder is 70 cm diameter by 53 cm long with  0.64 cm mesh.  The cone has two sections: one 96.5 cm long with 15.74 threads per cm, and the other 134.6 cm long with 29.1 threads per cm.";"2011-10-21"
"L22/NETT0107";"Modified N70 net - Currie ans Foston (1957)";"Currie modified N70";"A modified version of the Nansen net with a large depth-flowmeter mounted mid-way down the middle of the cylinder portion of the net.";"2011-10-21"
"L22/NETT0108";"Discovery net N70 V net - Currie and Foxton (1956)";"Discovery net";"A version of the Nansen net with a 70 cm diameter mouth opening with 3 nearly cylindrical net sections and a final conical section. Section 1 with .63 cm mesh, section 2 canvas for closing rope, section 3 made of silk with 40 meshes per inch (15.7 meshes per 1 cm), and  section 4 made of silk with 74 meshes per inch (29.1 meshes per 1 cm)";"2011-10-21"
"L22/NETT0109";"Nackthai net - Nellen and Hempel (1969)";"Nackthai net";"A modified Gulf V sampler with a 20 cm diameter nose cone aperture expanding to 38 cm diameter over length of 53 cm. Attached to back of cone is a net 120 cm long.  Frame work in which net supported 45 cm x 45 cm x 190 cm long. Overall length 143 cm. A comparison was made between the Hai and the Nackthai samplers which showed the Nackthai filtered more water and caught significantly more plankton and fish a result attributed to its non-encased net [Wiebe and Benfield 2003 Plate 16 E].";"2011-10-21"
"L22/NETT0110";"Neuston net - Lippincott and Thomas (1983)";"Lippincott neuston net";"Has a 128 cm wide x 30 cm tall rectangular mouth opening with 260 cm long net with 0.351 mm nylon mesh. A TSK flowmeter is mounted in the lower portion of the net mouth. Lobster buoy floats provide buoyancy.";"2011-10-21"
"L22/NETT0111";"Neuston net - Ellertsen (1977)";"Ellertsen neuston net";"Six stacked nets two with 10 cm tall x 25 cm wide rectangular mouth opening and four with 20 cm tall x 25 cm wide mouths. Nets 100 cm long made of 0.2 mm nylon mesh. Pontoons made of fiberglass covered Styrofoam 10 x 15 x 100 cm. A flowmeter can be used [Wiebe and Benfield 2003 Plate 21 C].";"2011-10-21"
"L22/NETT0112";"Neuston net - Sconfietti and Cantonati (1990)";"Sconfietti neuston net";"A 40 cm diameter net (60 cm long) is attached at the front and rear to a polyurethane float by rods extending down below the float with the top of net about 12 cm below the surface.  [Wiebe and Benfield 2003 Plate 20 F]";"2011-10-21"
"L22/NETT0113";"Neuston net - David (1965)";"David neuston net";"Has a 30 cm x 15 cm rectangular mouth opening with a net 365 cm in length (21.3 meshes to cm). Normally towed at 5-6 knots [Wiebe and Benfield 2003 Plate 20 D].";"2011-10-21"
"L22/NETT0114";"Neuston net - Zaitsev (1959, 1970)";"Zaitsev neuston net";"Has a 60cm x 20 cm rectangular mouth aperture with a net 250 cm long with plastic foam floats 20 cm x 10 cm x 4 cm attached to sides of metal net frame.  Used from drifting or anchored vessel [Wiebe and Benfield 2003 Plate 20 A].";"2011-10-21"
"L22/NETT0115";"Mini-neuston net - Schram et al. (1981)";"Schram neuston net";"Neuston sampling system with three nets having a 60x20 cm rectangular mouth and 250 cm long.";"2011-10-21"
"L22/NETT0116";"Neuston net - Willis (1963)";"Willis neuston net";"Has a 17.8 cm x 3.8 cm rectangular mouth opening of net 67.3 cm long (netting nylon with 78.7 meshes/cm).  Normally towed while ship drifting at 1 knot [Wiebe and Benfield 2003 Plate 20 C].";"2011-10-21"
"L22/NETT0117";"Neuston sampler - Danielssen and Tveite (1968)";"Danielssen neuston Sampler";"A framework supports five rectangular nets with mesh sizes ranging from 0.150 to 0.500 mm. A flowmeter is used.";"2011-10-21"
"L22/NETT0118";"Neuston sampler - Sameoto and Jaroszynski (1969)";"Sameoto neuston sampler";"Has a 102 cm x 102 cm square mouth opening aluminum box frame 152 cm long equipped with foam floatation on top, a pair of fins on the side, and a fin on the bottom.  Attached to the back is a net 104 cm x 104 cm at the mouth and 927 cm long made from 0.308 mm nylon mesh. A two-part towing bridle was attached to one side and the sampler kited out away from the side of the vessel beyond the ships wake. Towing speeds 8 to 11 knots [Wiebe and Benfield 2003 Plate 20 E].";"2011-10-21"
"L22/NETT0119";"Neuston sampler - Schram et al. (1981)";"Schram neuston Sampler";"A framework supports five 50 cm x 20 cm mouth opening rectangular nets each 125 cm long with mesh sizes ranging from 0.150 to 0.500 mm. Frame equipped with a flowmeter is used [Wiebe and Benfield 2003 Plate 21 D].";"2011-10-21"
"L22/NETT0120";"Modified Rectangular Midwater Trawl 1+8 - Dimmler and Klindt (1990)";"Dimmler modified RMT 1+8";"RMT fitted with modified electronics comprising a PC-controlled unit with an underwater electronics unit connected by conducting cable. Nets are opened and closed by command at the surface. Sensors include pressure, temperature, conductivity, tilt-angle of net mouth, flow from two flowmeters and data acquisition rate is 4 times per second.  Data processing and display occurs in realtime.";"2011-10-21"
"L22/NETT0121";"NIPR-I sampler - Fukuchi et al. (1979)";"NIPR-I sampler";"A cylinder (24 cm x 57.5 cm) contains a motor driven propellor and a flow meter.  Water is pushed into a net (20 cm diameter x 50 cm length with 100 ?m mesh attached to the rear end of the cylinder.. The system is used to sample under sea ice to depth of 10 m.";"2011-10-21"
"L22/NETT0122";"North Pacific standard net  - Motoda (1957)";"NorPac net";"Has a 45 cm mouth diameter with a conical net length of 180 cm (mesh 0.33 mm - GG54) [Wiebe and Benfield 2003 Plate 1 F].";"2011-10-21"
"L22/NETT0123";"Modified North Pacific standard net - Motoda (1994)";"Motoda modified NorPac net";"Has a 45 cm diameter circular mouth opening with cylinder 65 cm and 130 cm cone mesh (0.35 mm). Equipped with a flowmeter. Also there is a description of a self-closing cod end box which has two net bags to collect the catch. The net is sent down vertically and when towed horizontally, a counter balance weight opens one net bag. When the net is brought to the surface vertically, the weight shifts closing the one and opening the other net bag [Wiebe and Benfield 2003 Plate 25 B].";"2011-10-21"
"L22/NETT0124";"N-series (N50, N70, N100, N200, N450) nets - Kemp et al. (1929); Marr (1938)";"N-series nets";"Cylinder-cone nets of varying sizes that were used in conjunction and towed either vertically, horizontally or obliquely depending upon size. All could be closed. N50 and N70  were similar in size and mesh to Hjort net [Wiebe and Benfield 2003 Plate 1 E].  Grouping term for N50, N70, N100, N200 and N450 nets.";"2011-10-21"
